"year","week","PG_count","burrow_count","burrow_visit","date"
"2008",26,21,6,0,2008-06-25
"2008",27,31,6,0,2008-07-02
"2008",28,61,12,0,2008-07-09
"2008",29,31,0,0,2008-07-17
"2008",30,69,0,0,2008-07-22
"2008",31,12,0,0,2008-07-30
"2008",32,28,0,0,2008-08-07
"2008",33,13,0,0,2008-08-16
"2009",27,52,6,0,2009-06-30
"2009",28,55,23,0,2009-07-07
"2009",29,50,11,0,2009-07-14
"2009",30,74,12,0,2009-07-21
"2009",31,61,12,0,2009-07-28
"2009",32,58,12,0,2009-08-04
"2009",33,75,12,0,2009-08-11
"2009",34,6,12,0,2009-08-18
"2010",25,40,1,0,2010-06-22
"2010",26,69,16,31,2010-06-29
"2010",27,84,0,10,2010-07-05
"2010",28,105,6,1,2010-07-12
"2010",29,86,6,0,2010-07-19
"2010",30,108,7,1,2010-07-26
"2010",31,97,22,1,2010-08-03
"2010",32,43,7,2,2010-08-09
"2010",33,43,0,17,2010-08-17
"2010",34,5,0,0,2010-08-24
"2011",25,17,3,2,2011-06-23
"2011",26,57,5,0,2011-07-01
"2011",27,70,11,1,2011-07-08
"2011",28,34,13,3,2011-07-15
"2011",29,84,17,6,2011-07-22
"2011",30,34,18,0,2011-07-29
"2011",31,66,18,0,2011-08-05
"2011",32,111,18,0,2011-08-08
"2011",33,46,18,0,2011-08-19
"2012",26,61,6,1,2012-06-26
"2012",27,55,9,0,2012-07-02
"2012",28,88,15,18,2012-07-09
"2012",29,53,15,0,2012-07-16
"2012",30,69,16,1,2012-07-24
"2012",31,44,16,0,2012-07-30
"2012",32,93,16,9,2012-08-06
"2012",33,73,16,0,2012-08-13
"2012",34,10,0,0,2012-08-21
"2013",26,69,3,0,2013-06-25
"2013",27,78,8,0,2013-07-02
"2013",28,62,17,47,2013-07-09
"2013",29,68,19,0,2013-07-16
"2013",30,60,20,24,2013-07-24
"2013",31,94,22,0,2013-07-30
"2013",32,89,24,3,2013-08-07
"2013",33,70,24,0,2013-08-14
"2013",34,37,24,0,2013-08-20
"2013",35,5,24,0,2013-08-27
"2013",36,2,24,0,2013-09-04
"2014",25,102,10,20,2014-06-17
"2014",26,77,12,5,2014-06-23
"2014",27,132,15,18,2014-06-30
"2014",28,112,15,0,2014-07-07
"2014",29,152,22,24,2014-07-14
"2014",30,80,23,2,2014-07-21
"2014",31,94,22,65,2014-07-28
"2014",32,65,17,0,2014-08-05
"2014",33,146,25,26,2014-08-11
"2014",34,102,25,0,2014-08-18
"2014",35,24,22,0,2014-08-25
"2014",36,0,8,0,2014-09-01
"2015",26,120,20,39,2015-06-23
"2015",27,67,9,13,2015-06-30
"2015",28,100,10,20,2015-07-07
"2015",29,33,8,11,2015-07-14
"2015",30,109,16,30,2015-07-21
"2015",31,52,1,2,2015-07-29
"2015",32,84,0,0,2015-08-05
"2015",33,15,0,0,2015-08-12
"2016",23,69,15,32,2016-06-06
"2016",24,22,7,9,2016-06-14
"2016",25,80,14,31,2016-06-21
"2016",26,66,10,17,2016-06-28
"2016",27,82,14,30,2016-07-05
"2016",28,54,5,8,2016-07-12
"2016",29,41,4,7,2016-07-19
"2016",30,66,3,7,2016-07-26
"2016",31,84,5,8,2016-08-02
"2016",32,32,4,5,2016-08-09
"2016",33,12,1,2,2016-08-16
"2016",34,0,0,0,2016-08-23
"2017",24,59,7,11,2017-06-13
"2017",25,58,3,3,2017-06-20
"2017",26,52,13,23,2017-06-27
"2017",27,52,7,12,2017-07-04
"2017",28,56,10,17,2017-07-11
"2017",29,47,6,8,2017-07-18
"2017",30,55,2,7,2017-07-25
"2017",31,35,1,1,2017-08-01
"2017",32,50,2,2,2017-08-08
"2017",33,11,0,0,2017-08-15
"2017",34,0,0,0,2017-08-22
